"","WAIC","pWAIC","dWAIC","weight","SE","dSE"
"m6",4033.67765899036,15.4468413706483,0,0.615933162198823,35.5488878605862,NA
"m1",4034.76452232938,6.41289353680445,1.08686333902642,0.357704342126795,29.4790138139425,14.9994864108716
"m5",4040.39692752671,7.01223225787694,6.71926853635159,0.0214024239979818,29.2370017303451,15.1006765454172
"m4",4043.32109551676,15.1176518820163,9.64343652640628,0.00496007167640003,38.1234239275039,22.1533545107188
